Gender,Senior Citizen,Partner,Dependents,Tenure Months,Tenure Groups,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Service Count,Contract,Paperless Billing,Payment Method,Monthly Charges,Charge Category,Total Charges,Churn Value,Churn Reason
Female,No,No,No,1,0-12,Yes,No,Fiber optic,Yes,No,No,No,No,No,3,Month-to-month,Yes,Mailed check,73.6,Medium,73.6,1,Product dissatisfaction
Female,Yes,No,No,4,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,95.45,High,396.1,1,Service dissatisfaction
Male,Yes,Yes,No,32,25-36,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.9,Medium,2303.35,1,Lack of self-service on Website
Male,No,No,No,5,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Month-to-month,Yes,Electronic check,80.6,Medium,415.55,1,Network reliability
Female,No,Yes,No,38,37-48,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,7,One year,No,Credit card (automatic),80.3,Medium,3058.65,1,Limited range of services
Male,Yes,Yes,No,24,13-24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,93.15,High,2231.05,1,Lack of affordable download/upload speed
Female,Yes,No,No,54,49-60,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,8,One year,No,Bank transfer (automatic),82.45,Medium,4350.1,1,Long distance charges
Female,Yes,No,No,2,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.35,Medium,139.05,1,Extra data charges
Female,No,No,No,7,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,73.85,Medium,511.25,1,Price too high
Female,No,No,No,2,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4,Month-to-month,No,Mailed check,80.6,Medium,155.8,1,Product dissatisfaction
Male,No,Yes,No,68,61-72,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,7,One year,Yes,Bank transfer (automatic),75.8,Medium,5293.95,1,Service dissatisfaction
Female,No,No,No,43,37-48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Two year,Yes,Electronic check,104.6,High,4759.85,1,Lack of self-service on Website
Male,No,Yes,No,63,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,103.4,High,6603.0,1,Network reliability
Female,No,No,No,2,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4,Month-to-month,Yes,Electronic check,90.4,High,168.2,1,Don't know
Male,No,Yes,No,4,0-12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,5,Month-to-month,Yes,Bank transfer (automatic),84.8,Medium,371.9,1,Don't know
Female,Yes,No,No,21,13-24,No,No phone service,DSL,Yes,No,No,No,Yes,No,3,Month-to-month,Yes,Electronic check,41.9,Low,840.1,1,Don't know
Female,No,No,No,10,0-12,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,Yes,Bank transfer (automatic),80.25,Medium,846.0,1,Poor expertise of online support
Male,Yes,Yes,No,27,25-36,No,No phone service,DSL,Yes,No,No,No,No,No,2,Month-to-month,No,Credit card (automatic),30.75,Low,805.1,1,Poor expertise of phone support
Male,No,No,No,5,0-12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5,Month-to-month,No,Bank transfer (automatic),96.5,High,492.55,1,Price too high
Male,No,No,No,2,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4,Month-to-month,Yes,Electronic check,85.65,High,181.5,1,Product dissatisfaction
Female,No,Yes,No,25,25-36,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Month-to-month,Yes,Bank transfer (automatic),104.95,High,2566.5,1,Service dissatisfaction
Male,No,No,No,1,0-12,Yes,No,DSL,No,Yes,No,No,No,No,3,Month-to-month,No,Mailed check,50.65,Medium,50.65,1,Don't know
Male,No,No,No,1,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5,Month-to-month,Yes,Credit card (automatic),90.85,High,90.85,1,Network reliability
Male,Yes,Yes,No,11,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,19.95,Low,214.75,1,Limited range of services
Female,Yes,Yes,No,55,49-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,5,Month-to-month,Yes,Electronic check,85.45,High,4874.7,1,Lack of affordable download/upload speed
Female,No,No,No,34,25-36,Yes,No,Fiber optic,No,Yes,No,No,No,No,3,Month-to-month,Yes,Credit card (automatic),73.95,Medium,2524.45,1,Long distance charges
Male,No,Yes,No,69,61-72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,Yes,Credit card (automatic),99.45,High,7007.6,1,Extra data charges
Female,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Mailed check,19.9,Low,19.9,1,Price too high
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Mailed check,19.6,Low,19.6,1,Product dissatisfaction
Male,Yes,No,No,3,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Electronic check,81.35,Medium,233.7,1,Service dissatisfaction
Female,No,Yes,No,22,13-24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,4,Month-to-month,No,Electronic check,83.3,Medium,1845.9,1,Lack of self-service on Website
Female,Yes,No,No,1,0-12,Yes,No,Fiber optic,No,No,Yes,No,No,No,3,Month-to-month,Yes,Bank transfer (automatic),75.3,Medium,75.3,1,Network reliability
Female,No,Yes,No,61,61-72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Mailed check,19.4,Low,1182.55,1,Don't know
Male,No,No,No,12,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,Yes,Bank transfer (automatic),45.4,Low,518.9,1,Don't know
Female,No,No,No,60,49-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,105.9,High,6396.45,1,Don't know
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Mailed check,69.55,Medium,69.55,1,Competitor had better devices
Female,No,Yes,No,28,25-36,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,Yes,Electronic check,81.05,Medium,2227.1,1,Competitor had better devices
Male,No,Yes,No,4,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,No,Electronic check,101.15,High,385.9,1,Competitor had better devices
Male,No,No,No,7,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,99.8,High,673.25,1,Competitor had better devices
Female,No,Yes,No,13,13-24,Yes,No,DSL,No,No,No,No,No,Yes,3,Month-to-month,No,Electronic check,55.95,Medium,734.35,1,Competitor had better devices
Male,No,No,No,1,0-12,Yes,No,DSL,No,No,No,No,No,Yes,3,Month-to-month,Yes,Electronic check,55.0,Medium,55.0,1,Competitor had better devices
Female,No,Yes,No,1,0-12,Yes,No,Fiber optic,No,Yes,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.7,Medium,74.7,1,Competitor had better devices
Male,No,No,No,24,13-24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Electronic check,80.25,Medium,1861.5,1,Competitor had better devices
Male,No,No,No,5,0-12,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,5,Month-to-month,Yes,Electronic check,96.1,High,453.4,1,Competitor had better devices
Female,No,No,No,15,13-24,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Bank transfer (automatic),69.0,Medium,994.8,1,Competitor had better devices
Female,No,Yes,No,48,37-48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,4,Month-to-month,Yes,Bank transfer (automatic),45.3,Low,2145.0,1,Price too high
Female,No,Yes,No,8,0-12,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,4,Month-to-month,Yes,Electronic check,83.55,Medium,680.05,1,Product dissatisfaction
Male,No,No,No,1,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.35,Medium,74.35,1,Service dissatisfaction
Female,No,Yes,No,2,0-12,Yes,No,Fiber optic,Yes,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.4,Medium,139.4,1,Lack of self-service on Website
Male,No,No,No,22,13-24,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,4,One year,Yes,Bank transfer (automatic),43.75,Low,903.6,1,Network reliability
Female,Yes,No,No,5,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,2,Month-to-month,No,Electronic check,28.45,Low,131.05,1,Limited range of services
Female,No,No,No,12,0-12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,7,Month-to-month,Yes,Bank transfer (automatic),99.7,High,1238.45,1,Lack of affordable download/upload speed
Female,Yes,No,No,20,13-24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,6,Month-to-month,Yes,Electronic check,94.1,High,1782.4,1,Long distance charges
Male,No,Yes,No,2,0-12,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,5,Month-to-month,Yes,Electronic check,94.2,High,167.5,1,Don't know
Female,No,Yes,No,6,0-12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,4,Month-to-month,Yes,Electronic check,80.5,Medium,502.85,1,Price too high
Female,Yes,Yes,No,5,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.35,Medium,334.8,1,Product dissatisfaction
Male,No,No,No,40,37-48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Month-to-month,No,Bank transfer (automatic),104.8,High,4131.95,1,Service dissatisfaction
Female,Yes,Yes,No,27,25-36,Yes,No,Fiber optic,Yes,No,No,No,No,No,3,Month-to-month,Yes,Bank transfer (automatic),75.2,Medium,1929.35,1,Lack of self-service on Website
Female,No,No,No,23,13-24,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,No,Bank transfer (automatic),75.6,Medium,1758.6,1,Network reliability
Male,No,Yes,No,34,25-36,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,100.05,High,3480.0,1,Don't know
Female,No,No,No,1,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,85.0,Medium,85.0,1,Don't know
Male,No,No,No,10,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4,Month-to-month,Yes,Bank transfer (automatic),86.05,High,834.1,1,Don't know
Male,No,No,No,13,13-24,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,4,Month-to-month,Yes,Credit card (automatic),45.55,Low,597.0,1,Poor expertise of online support
Male,No,Yes,No,39,37-48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,4,Month-to-month,Yes,Mailed check,86.3,High,3266.0,1,Poor expertise of phone support
Male,No,No,No,32,25-36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Bank transfer (automatic),80.35,Medium,2596.15,1,Competitor had better devices
Female,No,No,No,35,25-36,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,100.25,High,3527.6,1,Competitor offered higher download speeds
Male,No,Yes,No,56,49-60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,One year,No,Credit card (automatic),100.3,High,5614.45,1,Competitor offered more data
Female,No,Yes,No,12,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,19.0,Low,233.55,1,Competitor made better offer
Female,No,No,No,1,0-12,Yes,No,Fiber optic,Yes,No,No,No,No,No,3,Month-to-month,No,Mailed check,75.3,Medium,75.3,1,Competitor had better devices
Female,Yes,No,No,4,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,5,Month-to-month,Yes,Electronic check,89.2,High,346.2,1,Competitor had better devices
Female,Yes,No,No,1,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4,Month-to-month,Yes,Electronic check,85.7,High,85.7,1,Competitor offered higher download speeds
Female,No,No,No,12,0-12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,6,Month-to-month,Yes,Mailed check,61.65,Medium,713.75,1,Competitor offered higher download speeds
Female,Yes,Yes,No,65,61-72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7,Month-to-month,No,Bank transfer (automatic),105.25,High,6786.4,1,Competitor offered higher download speeds
Male,No,Yes,No,9,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,2,Month-to-month,Yes,Electronic check,29.95,Low,248.95,1,Competitor offered more data
Female,No,Yes,No,9,0-12,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,6,Month-to-month,No,Mailed check,65.0,Medium,663.05,1,Competitor offered more data
Female,No,No,No,7,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Bank transfer (automatic),20.0,Low,137.6,1,Competitor offered more data
Male,Yes,Yes,No,49,49-60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5,Month-to-month,No,Credit card (automatic),90.05,High,4547.25,1,Competitor made better offer
Male,Yes,Yes,No,43,37-48,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8,Month-to-month,Yes,Bank transfer (automatic),110.75,High,4687.9,1,Competitor made better offer
Female,No,Yes,No,65,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,105.5,High,6985.65,1,Competitor had better devices
Male,Yes,Yes,No,56,49-60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7,One year,Yes,Bank transfer (automatic),104.55,High,5794.65,1,Competitor offered higher download speeds
